final\initial,vowels,,,,,,,,,,
k,g,,,,,,,,,,
ṭ,ḍ,,,,,,,,,,
t,d,,,,,,,,,,
p,b,,,,,,,,,,
ṅ,ṅṅ,only before short vowels,,,,,,,,,
n,nn,only before short vowels,,,,,,,,,
m,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
final\initial,a,A,i,I,u,U,f,e,E,o,O
ak,ag,ag,ag,ag,ag,ag,ag,ag,ag,ag,ag
Ak,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
ik,ig,ig,ig,ig,ig,ig,ig,ig,ig,ig,ig
Ik,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig,Ig
uk,ug,ug,ug,ug,ug,ug,ug,ug,ug,ug,ug
Uk,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug,Ug
ek,eg,eg,eg,eg,eg,eg,eg,eg,eg,eg,eg
ok,og,og,og,og,og,og,og,og,og,og,og
Ek,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg,Eg
Ok,Og,Og,Og,Og,Og,Og,Og,Og,Og,Og,Og
aw,aq,aq,aq,aq,aq,aq,aq,aq,aq,aq,aq
Aw,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq,Aq
iw,iq,iq,iq,iq,iq,iq,iq,iq,iq,iq,iq
Iw,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq,Iq
uw,uq,uq,uq,uq,uq,uq,uq,uq,uq,uq,uq
Uw,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq,Uq
ew,eq,eq,eq,eq,eq,eq,eq,eq,eq,eq,eq
ow,oq,oq,oq,oq,oq,oq,oq,oq,oq,oq,oq
Ew,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq,Eq
Ow,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq,Oq
at,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad,ad
At,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad
it,id,id,id,id,id,id,id,id,id,id,id
It,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id,Id
ut,ud,ud,ud,ud,ud,ud,ud,ud,ud,ud,ud
Ut,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud,Ud
et,ed,ed,ed,ed,ed,ed,ed,ed,ed,ed,ed
ot,od,od,od,od,od,od,od,od,od,od,od
Et,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed,Ed
Ot,Od,Od,Od,Od,Od,Od,Od,Od,Od,Od,Od
ap,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab
Ap,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab,Ab
ip,ib,ib,ib,ib,ib,ib,ib,ib,ib,ib,ib
Ip,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib,Ib
up,ub,ub,ub,ub,ub,ub,ub,ub,ub,ub,ub
Up,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub,Ub
ep,eb,eb,eb,eb,eb,eb,eb,eb,eb,eb,eb
op,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob
Ep,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb
Op,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob,Ob
aN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN,aNN
AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
iN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN,iNN
IN,IN,IN,IN,IN,IN,IN,IN,IN,IN,IN,IN
uN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN,uNN
UN,UN,UN,UN,UN,UN,UN,UN,UN,UN,UN,UN
eN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN,eNN
oN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN,oNN
EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
an,ann,ann,ann,ann,ann,ann,ann,ann,ann,ann,ann
An,An,An,An,An,An,An,An,An,An,An,An
in,inn,inn,inn,inn,inn,inn,inn,inn,inn,inn,inn
In,In,In,In,In,In,In,In,In,In,In,In
un,unn,unn,unn,unn,unn,unn,unn,unn,unn,unn,unn
Un,Un,Un,Un,Un,Un,Un,Un,Un,Un,Un,Un
en,enn,enn,enn,enn,enn,enn,enn,enn,enn,enn,enn
on,onn,onn,onn,onn,onn,onn,onn,onn,onn,onn,onn
En,En,En,En,En,En,En,En,En,En,En,En
On,On,On,On,On,On,On,On,On,On,On,On
am,am,am,am,am,am,am,am,am,am,am,am
Am,Am,Am,Am,Am,Am,Am,Am,Am,Am,Am,Am
im,im,im,im,im,im,im,im,im,im,im,im
Im,Im,Im,Im,Im,Im,Im,Im,Im,Im,Im,Im
um,um,um,um,um,um,um,um,um,um,um,um
Um,Um,Um,Um,Um,Um,Um,Um,Um,Um,Um,Um
em,em,em,em,em,em,em,em,em,em,em,em
om,om,om,om,om,om,om,om,om,om,om,om
Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em,Em
Om,Om,Om,Om,Om,Om,Om,Om,Om,Om,Om,Om
